1,102,Beta Engineering College,NULL,NULL,0,100,2025-04-08
2,104,Delta Science University,NULL,NULL,0,92,2025-04-08
3,105,Epsilon Medical Institute,1007,Physics,2,59,2025-04-08
4,105,Epsilon Medical Institute,NULL,NULL,0,76,2025-04-08
5,107,Eta Polytechnic,1007,Physics,1,94,2025-04-08
6,107,Eta Polytechnic,NULL,NULL,0,97,2025-04-08
7,103,Gamma Arts College,NULL,NULL,0,88,2025-04-08
8,109,Iota Technical College,1007,Physics,1,89,2025-04-08
9,109,Iota Technical College,NULL,NULL,0,96,2025-04-08
10,110,Kappa Law School,1007,Physics,1,50,2025-04-08
11,110,Kappa Law School,NULL,NULL,0,96,2025-04-08
12,108,Theta Design Academy,1007,Physics,2,99,2025-04-08
13,108,Theta Design Academy,NULL,NULL,0,99,2025-04-08
14,106,Zeta Management School,1007,Physics,1,54,2025-04-08
15,106,Zeta Management School,NULL,NULL,0,93,2025-04-08
16,NULL,NULL,NULL,NULL,0,80,2025-04-08
