01012025,1,1,first,2025
02012025,1,2,first,2025
03012025,1,3,first,2025
04012025,1,4,second,2025
05012025,1,5,second,2025
06012025,1,6,second,2025
07012025,1,7,third,2025
08012025,1,8,third,2025
09012025,1,9,third,2025
10012025,1,10,fourth,2025
11012025,1,11,fourth,2025
12012025,1,12,fourth,2025
13012025,1,13,fourth,2025
14012025,1,14,fourth,2025
15012025,1,15,fourth,2025
16012025,1,16,fourth,2025
17012025,1,17,fourth,2025
18012025,1,18,fourth,2025
19012025,1,19,fourth,2025
20012025,1,20,fourth,2025
21012025,1,21,fourth,2025
22012025,1,22,fourth,2025
23012025,1,23,fourth,2025
24012025,1,24,fourth,2025
25012025,1,25,fourth,2025
26012025,1,26,fourth,2025
27012025,1,27,fourth,2025
28012025,1,28,fourth,2025
29012025,1,29,fourth,2025
30012025,1,30,fourth,2025
31012025,1,31,fourth,2025
01022025,2,1,first,2025
02022025,2,2,first,2025
03022025,2,3,first,2025
04022025,2,4,second,2025
05022025,2,5,second,2025
06022025,2,6,second,2025
07022025,2,7,third,2025
08022025,2,8,third,2025
09022025,2,9,third,2025
10022025,2,10,fourth,2025
11022025,2,11,fourth,2025
12022025,2,12,fourth,2025
13022025,2,13,fourth,2025
14022025,2,14,fourth,2025
15022025,2,15,fourth,2025
16022025,2,16,fourth,2025
17022025,2,17,fourth,2025
18022025,2,18,fourth,2025
19022025,2,19,fourth,2025
20022025,2,20,fourth,2025
21022025,2,21,fourth,2025
22022025,2,22,fourth,2025
23022025,2,23,fourth,2025
24022025,2,24,fourth,2025
25022025,2,25,fourth,2025
26022025,2,26,fourth,2025
27022025,2,27,fourth,2025
28022025,2,28,fourth,2025
01032025,3,1,first,2025
02032025,3,2,first,2025
03032025,3,3,first,2025
04032025,3,4,second,2025
05032025,3,5,second,2025
06032025,3,6,second,2025
07032025,3,7,third,2025
08032025,3,8,third,2025
09032025,3,9,third,2025
10032025,3,10,fourth,2025
11032025,3,11,fourth,2025
12032025,3,12,fourth,2025
13032025,3,13,fourth,2025
14032025,3,14,fourth,2025
15032025,3,15,fourth,2025
16032025,3,16,fourth,2025
17032025,3,17,fourth,2025
18032025,3,18,fourth,2025
19032025,3,19,fourth,2025
20032025,3,20,fourth,2025
21032025,3,21,fourth,2025
22032025,3,22,fourth,2025
23032025,3,23,fourth,2025
24032025,3,24,fourth,2025
25032025,3,25,fourth,2025
26032025,3,26,fourth,2025
27032025,3,27,fourth,2025
28032025,3,28,fourth,2025
29032025,3,29,fourth,2025
30032025,3,30,fourth,2025
31032025,3,31,fourth,2025
01042025,4,1,first,2025
02042025,4,2,first,2025
03042025,4,3,first,2025
04042025,4,4,second,2025
05042025,4,5,second,2025
06042025,4,6,second,2025
07042025,4,7,third,2025
08042025,4,8,third,2025
09042025,4,9,third,2025
10042025,4,10,fourth,2025
11042025,4,11,fourth,2025
12042025,4,12,fourth,2025
13042025,4,13,fourth,2025
14042025,4,14,fourth,2025
15042025,4,15,fourth,2025
16042025,4,16,fourth,2025
17042025,4,17,fourth,2025
18042025,4,18,fourth,2025
19042025,4,19,fourth,2025
20042025,4,20,fourth,2025
21042025,4,21,fourth,2025
22042025,4,22,fourth,2025
23042025,4,23,fourth,2025
24042025,4,24,fourth,2025
25042025,4,25,fourth,2025
26042025,4,26,fourth,2025
27042025,4,27,fourth,2025
28042025,4,28,fourth,2025
29042025,4,29,fourth,2025
30042025,4,30,fourth,2025
01052025,5,1,first,2025
02052025,5,2,first,2025
03052025,5,3,first,2025
04052025,5,4,second,2025
05052025,5,5,second,2025
06052025,5,6,second,2025
07052025,5,7,third,2025
08052025,5,8,third,2025
09052025,5,9,third,2025
10052025,5,10,fourth,2025
11052025,5,11,fourth,2025
12052025,5,12,fourth,2025
13052025,5,13,fourth,2025
14052025,5,14,fourth,2025
15052025,5,15,fourth,2025
16052025,5,16,fourth,2025
17052025,5,17,fourth,2025
18052025,5,18,fourth,2025
19052025,5,19,fourth,2025
20052025,5,20,fourth,2025
21052025,5,21,fourth,2025
22052025,5,22,fourth,2025
23052025,5,23,fourth,2025
24052025,5,24,fourth,2025
25052025,5,25,fourth,2025
26052025,5,26,fourth,2025
27052025,5,27,fourth,2025
28052025,5,28,fourth,2025
29052025,5,29,fourth,2025
30052025,5,30,fourth,2025
31052025,5,31,fourth,2025
01062025,6,1,first,2025
02062025,6,2,first,2025
03062025,6,3,first,2025
04062025,6,4,second,2025
05062025,6,5,second,2025
06062025,6,6,second,2025
07062025,6,7,third,2025
08062025,6,8,third,2025
09062025,6,9,third,2025
10062025,6,10,fourth,2025
11062025,6,11,fourth,2025
12062025,6,12,fourth,2025
13062025,6,13,fourth,2025
14062025,6,14,fourth,2025
15062025,6,15,fourth,2025
16062025,6,16,fourth,2025
17062025,6,17,fourth,2025
18062025,6,18,fourth,2025
19062025,6,19,fourth,2025
20062025,6,20,fourth,2025
21062025,6,21,fourth,2025
22062025,6,22,fourth,2025
23062025,6,23,fourth,2025
24062025,6,24,fourth,2025
25062025,6,25,fourth,2025
26062025,6,26,fourth,2025
27062025,6,27,fourth,2025
28062025,6,28,fourth,2025
29062025,6,29,fourth,2025
30062025,6,30,fourth,2025
01072025,7,1,first,2025
02072025,7,2,first,2025
03072025,7,3,first,2025
04072025,7,4,second,2025
05072025,7,5,second,2025
06072025,7,6,second,2025
07072025,7,7,third,2025
08072025,7,8,third,2025
09072025,7,9,third,2025
10072025,7,10,fourth,2025
11072025,7,11,fourth,2025
12072025,7,12,fourth,2025
13072025,7,13,fourth,2025
14072025,7,14,fourth,2025
15072025,7,15,fourth,2025
16072025,7,16,fourth,2025
17072025,7,17,fourth,2025
18072025,7,18,fourth,2025
19072025,7,19,fourth,2025
20072025,7,20,fourth,2025
21072025,7,21,fourth,2025
22072025,7,22,fourth,2025
23072025,7,23,fourth,2025
24072025,7,24,fourth,2025
25072025,7,25,fourth,2025
26072025,7,26,fourth,2025
27072025,7,27,fourth,2025
28072025,7,28,fourth,2025
29072025,7,29,fourth,2025
30072025,7,30,fourth,2025
31072025,7,31,fourth,2025
01082025,8,1,first,2025
02082025,8,2,first,2025
03082025,8,3,first,2025
04082025,8,4,second,2025
05082025,8,5,second,2025
06082025,8,6,second,2025
07082025,8,7,third,2025
08082025,8,8,third,2025
09082025,8,9,third,2025
10082025,8,10,fourth,2025
11082025,8,11,fourth,2025
12082025,8,12,fourth,2025
13082025,8,13,fourth,2025
14082025,8,14,fourth,2025
15082025,8,15,fourth,2025
16082025,8,16,fourth,2025
17082025,8,17,fourth,2025
18082025,8,18,fourth,2025
19082025,8,19,fourth,2025
20082025,8,20,fourth,2025
21082025,8,21,fourth,2025
22082025,8,22,fourth,2025
23082025,8,23,fourth,2025
24082025,8,24,fourth,2025
25082025,8,25,fourth,2025
26082025,8,26,fourth,2025
27082025,8,27,fourth,2025
28082025,8,28,fourth,2025
29082025,8,29,fourth,2025
30082025,8,30,fourth,2025
31082025,8,31,fourth,2025
01092025,9,1,first,2025
02092025,9,2,first,2025
03092025,9,3,first,2025
04092025,9,4,second,2025
05092025,9,5,second,2025
06092025,9,6,second,2025
07092025,9,7,third,2025
08092025,9,8,third,2025
09092025,9,9,third,2025
10092025,9,10,fourth,2025
11092025,9,11,fourth,2025
12092025,9,12,fourth,2025
13092025,9,13,fourth,2025
14092025,9,14,fourth,2025
15092025,9,15,fourth,2025
16092025,9,16,fourth,2025
17092025,9,17,fourth,2025
18092025,9,18,fourth,2025
19092025,9,19,fourth,2025
20092025,9,20,fourth,2025
21092025,9,21,fourth,2025
22092025,9,22,fourth,2025
23092025,9,23,fourth,2025
24092025,9,24,fourth,2025
25092025,9,25,fourth,2025
26092025,9,26,fourth,2025
27092025,9,27,fourth,2025
28092025,9,28,fourth,2025
29092025,9,29,fourth,2025
